Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP00160,Female,No,1,Graduate,Yes,9006,385,360,180,0,Urban,N
LP00161,Female,No,3,Graduate,No,8574,5500,312,360,0,Rural,N
LP00162,Male,Yes,2,Not Graduate,Yes,4975,4101,342,360,1,Rural,Y
LP00163,Male,No,1,Not Graduate,No,10668,6123,88,180,0,Rural,N
LP00164,Male,Yes,2,Graduate,Yes,5008,1188,329,180,0,Semiurban,Y
LP00165,Female,Yes,2,Graduate,Yes,2055,3700,381,120,0,Semiurban,N
LP00166,Female,No,2,Not Graduate,Yes,4932,5885,274,120,1,Semiurban,N
LP00167,Female,No,0,Graduate,No,12053,2081,400,360,0,Urban,Y
LP00168,Male,No,3,Not Graduate,No,12586,2916,241,180,1,Rural,N
LP00169,Female,No,3,Not Graduate,Yes,6426,1500,182,180,0,Semiurban,Y
LP00170,Female,No,3,Not Graduate,Yes,10978,1310,299,180,1,Rural,Y
LP00171,Female,No,2,Not Graduate,Yes,6043,7783,292,180,0,Rural,Y
LP00172,Female,No,3,Graduate,Yes,3187,3521,162,120,1,Rural,Y
LP00173,Male,Yes,1,Not Graduate,No,13218,5505,89,180,0,Rural,N
LP00174,Female,Yes,0,Not Graduate,Yes,6991,6679,224,120,1,Urban,Y
LP00175,Female,No,2,Graduate,No,14215,1004,361,180,1,Semiurban,Y
LP00176,Female,No,2,Not Graduate,Yes,12842,7771,283,120,0,Rural,Y
LP00177,Female,Yes,3,Graduate,Yes,10774,4062,380,120,1,Semiurban,N
LP00178,Female,Yes,3,Not Graduate,Yes,2507,368,57,180,1,Semiurban,Y
LP00179,Female,Yes,2,Not Graduate,Yes,8975,602,267,360,0,Urban,N
LP00180,Male,Yes,3,Graduate,No,6231,7063,377,360,0,Urban,N
LP00181,Female,Yes,2,Not Graduate,No,10727,3557,295,120,0,Urban,Y
LP00182,Male,No,0,Graduate,Yes,1693,2255,173,360,0,Rural,N
LP00183,Male,Yes,1,Not Graduate,No,1692,194,286,180,1,Rural,N
LP00184,Male,Yes,3,Graduate,Yes,12780,5757,77,180,0,Rural,Y
LP00185,Male,Yes,0,Not Graduate,Yes,4100,2230,330,120,0,Semiurban,Y
LP00186,Male,Yes,2,Graduate,Yes,8393,5581,136,120,0,Semiurban,N
LP00187,Female,Yes,2,Graduate,No,7863,6779,73,180,0,Semiurban,Y
LP00188,Male,No,3,Not Graduate,Yes,9107,1712,282,120,0,Semiurban,Y
LP00189,Female,Yes,3,Graduate,No,7179,7915,101,180,1,Urban,N
LP00190,Female,No,3,Not Graduate,No,3316,6878,143,180,0,Urban,Y
LP00191,Female,No,0,Not Graduate,No,13001,7446,244,120,0,Semiurban,Y
LP00192,Female,Yes,2,Graduate,Yes,12355,2361,369,360,1,Urban,N
LP00193,Female,Yes,1,Not Graduate,Yes,13575,4555,181,120,1,Urban,Y
LP00194,Male,No,0,Graduate,Yes,12531,6144,310,180,1,Semiurban,N
LP00195,Female,No,2,Not Graduate,Yes,11719,6710,260,120,1,Semiurban,Y
LP00196,Male,No,3,Graduate,Yes,10312,4631,267,360,0,Semiurban,Y
LP00197,Male,Yes,0,Graduate,Yes,11075,364,71,120,0,Urban,N
LP00198,Male,No,2,Not Graduate,Yes,3441,4367,253,180,1,Semiurban,N
LP00199,Female,No,1,Not Graduate,No,8052,7791,167,120,1,Rural,Y
